name,number sold,highest bid,lowest ask
adidas Yeezy Wave Runner 700 Solid Grey,5470,"$1,010",$420
adidas Yeezy Boost 350 V2 Blue Tint,22525,$600,$370
adidas Yeezy Boost 350 V2 Cream White,20629,$506,$363
adidas Yeezy Boost 350 V2 Beluga 2.0,29369,$575,$368
adidas Yeezy Boost 350 V2 Zebra,15019,$630,$529
adidas Yeezy Powerphase Calabasas Grey,5846,$200,$150
Jordan 11 Retro Win Like 96,5912,$268,$250
adidas Ultra Boost 4.0 Triple Black,2207,$235,$199
Jordan 11 Retro Space Jam (2016),5036,$299,$255
Air Max 1 Anniversary Red (2017 Restock Pair),1744,$225,$148
Jordan 11 Retro UNC Win Like 82,3954,$250,$240
adidas Yeezy Boost 350 V2 Semi Frozen Yellow,3867,"$1,200",$497
adidas Ultra Boost 4.0 Running White,878,$160,$150
Jordan 1 Retro Royal (2017),14826,$300,$250
Jordan 3 Retro True Blue (2016),5293,$245,$210
adidas Yeezy Boost 350 V2 Black Red,4264,"$1,050",$790
adidas NMD R1 Japan Triple White,2895,$185,$160
Jordan 6 Retro Gatorade Green,2006,$320,$270
Jordan 13 Retro Bred (2017),3945,$190,$194
adidas Ultra Boost Lux Sneakersnstuff x Social Status Vintage White,789,$155,$113
"Jordan 1 Retro Bred ""Banned"" (2016)",3825,$510,$174
adidas Yeezy Powerphase Calabasas Core White,10656,$311,$220
adidas NMD R1 Japan Triple Black,5049,$265,$238
Jordan 11 Retro Legend Blue (2014),3176,$295,$268
Jordan 1 Retro High Gold Top 3,1471,$587,$500
Jordan 1 Retro High Off-White Chicago,2159,"$2,155","$1,700"
adidas NMD XR1 OG Black,6832,$170,$134
Jordan 6 Retro Gatorade Like Mike White,1055,$180,$155
Jordan 6 Retro UNC,949,$215,$190
Jordan 1 Retro High Gatorade Blue Lagoon,675,$200,$124
Air Max 97 Silver Bullet (2016/2017),5785,$260,$240
Jordan 11 Retro Playoffs (2012),1497,$475,$440
Jordan 4 Retro Kaws Black,1875,"$1,300",$745
Air Max 1 Anniversary Obsidian,629,$205,$157
Air Force 1 Low Roc-A-Fella (AF100),1393,$175,$145
Jordan 11 Retro Heiress Black Stingray (GS),1077,$195,$158
Jordan 6 Retro Infrared Black (2014),2123,$350,$275
Jordan 1 Retro Top 3,3176,$450,$298
Jordan 1 Retro High Gatorade Cyber,951,$185,$165
adidas Yeezy Boost 350 V2 Beluga,2083,$950,$689
Air VaporMax Off-White,1716,"$1,500",$780
Air Presto Off-White,1779,"$1,700","$1,274"
Kyrie 4 Confetti,1011,$280,$235
Jordan 1 Retro Shattered Backboard,957,$855,$580
Jordan 13 Retro Altitude (2017),709,$150,$138
adidas Ultra Boost 4.0 Chinese New Year (2018),897,$212,$190
Jordan 4 Retro Black Cement (2012),867,$330,$318
Jordan 1 Retro High Gatorade Orange Peel,698,$200,$120
adidas NMD R1 Neighborhood x Invincible,796,$400,$320
adidas Yeezy Boost 750 Light Brown Gum (Chocolate),819,$800,$645
adidas Yeezy Boost 350 V2 Core Black Red,1082,"$1,100",$945
adidas Ultra Boost Mid Kith x Nonnative,1585,$366,$155
Jordan 11 Retro Concord (2011),1059,$430,$440
Air Max 97 Off-White,1475,$750,$739
Jordan 4 Retro Kaws,1202,"$1,300","$1,125"
Air Max 97 Country Camo (USA),407,$190,$160
adidas Ultra Boost 4.0 A Ma Maniere x Invincible Cashmere Wool,989,$242,$180
Air Force 1 Low Travis Scott (AF100),1264,$615,$570
Air Max 90 Off-White,1872,"$1,800",$725
Jordan 1 Retro High Camo 3M Shadow,410,$155,$110
Air Max 97 Country Camo (Italy),213,$205,$149
LeBron 1 Air Zoom Generation Black White Retro,534,$300,$152
Jordan 10 Retro Drake OVO Black,435,$280,$285
Jordan 1 Retro Reverse Shattered Backboard,1121,$535,$349
adidas Yeezy Boost 750 Light Grey Glow In The Dark,879,"$1,001",$885
adidas Ultra Boost 1.0 SNS X Social Status,1068,$334,$250
adidas Yeezy Boost 350 Moonrock,818,"$1,200",$960
adidas Ultra Boost Mid Run Thru Time,960,$250,$170
LeBron 15 Lifestyle KITH Concrete,367,$285,$170
Air Max 97 Ultra 17 Skepta,1061,$375,$235
LeBron 15 Performance KITH Rose Gold,571,$400,$334
Nike Zoom Fly Off-White,1353,$680,$530
Jordan 1 Retro Fragment,239,"$3,000","$1,818"
Jordan 3 Retro Black Cement (2011),607,$240,$249
Air Max 1 Atmos Elephant (2017),1638,$551,$300
Jordan 1 Retro Shadow (2013),249,$350,$319
Jordan 10 Retro Drake OVO White,802,$375,$340
adidas Ultra Boost 1.0 Triple Black,546,$421,$349
Puma Bow Slide Rihanna Fenty Olive (W),42,$100,$75
adidas Tennis HU Pharrell Multi-Color,746,$92,$88
Jordan 10 Retro Doernbecher,72,$280,$289
adidas Ultra Boost Mid Ronnie Fieg,625,$600,$399
"Air More Uptempo Supreme ""Suptempo"" Black",946,$556,$458
adidas NMD HU Pharrell Human Race Scarlet,498,"$2,000",$912
adidas NMD HU Pharrell Human Race Yellow,131,"$2,500","$1,837"
Air Yeezy 2 Pure Platinum,69,"$3,500","$3,200"
Air Max 97 Country Camo (UK),199,$227,$195
Air Max 1 Master,1219,$530,$252
LeBron 15 Lifestyle KITH Stained Glass,535,$376,$271
Jordan 12 Retro PSNY,252,$450,$399
Jordan 12 Retro OVO Black,959,$486,$430
"Air More Uptempo Supreme ""Suptempo"" Gold",1365,"$1,000",$480
Jordan 3 Retro White Cement ('88 Dunk Contest 2013),283,$500,$500
Jordan 12 Retro PSNY Bordeaux,201,$701,$525
Jordan 2 Retro Just Don Beach,287,$565,$600
Air Presto Acronym Volt,120,$700,$625
Vans Era 95 Fear of God,52,"$1,000",$915
adidas NMD Nice Kicks,57,"$1,125","$1,100"
adidas Yeezy Boost 350 Turtledove,506,"$1,800","$1,699"
adidas ZX Flux Clot RWB,9,$66,$99
Air Max 1 Anniversary Red (2017),219,$225,$185
Air Max 97 Country Camo (France),134,$217,$190
adidas Copa Mundial 17 Ultra Boost Kith Cobras,164,$280,$190
Vans Sk8-Hi Odd Future Donut,34,$170,$200
Air Max 97 Country Camo (Germany),214,$245,$200
adidas Y-3 Pure Boost White Black,100,$300,$254
Jordan 7 Retro Doernbecher,431,$350,$315
Air VaporMax Clot Bright Crimson,396,$475,$340
adidas NMD R1 Bape Black Camo,555,$845,$400
Jordan 8 Retro Doernbecher,197,$700,$480
Vans Sk8-Hi Supreme Black Checker Logo,14,$301,$499
"Asics Gel-Lyte III Ronnie Fieg ""Flamingo""",10,$650,$569
Air Max Lunar90 SP Moon Landing,79,$675,$590
"Asics Gel-Lyte III Ronnie Fieg ""Homage"" (Special Box)",19,$602,$600
